Creative,Adset,GTM,CAC vs own best,CAC vs cohort,Spend
finance_timewastexfinance_mix1janxasmrexp_asmr_1jan_faceless_expansion_m1_asmrexp_hook1_track12,finance,false,13.9× best,₹3994.7 vs ₹644.0 cohort,₹0.3L
pti_track2_seekho_lowbalxpti_nikhil_ipadpov_faceless_human_23apr26_pc_expansion_exp_script_agency_pc_ext_shivam_nikhilxedit_pti_hook3,pti,false,5.7× best,₹301.1 vs ₹644.0 cohort,₹0.3L
seekhomalayalam_biz_paperxplatexbusinessxwomenxentrepreneurxhomexbusinessxlowxinvestmentxselfxreliance_womenxentrepreneur_human_face_29may26_exp_demography anf face_agency_shashank_wdm_track331_30may,seekhomalayalam,false,2.3× best,₹539.2 vs ₹644.0 cohort,₹0.3L
horxother_track342_seekho_gharkinaari_raksha_testimonialxchores_face_human_12may26_pc_expansion_exp_format_agency_pc_ext_shivam_raghavxedit_sharemarket_hook2,top - 342 - horxother,false,1.7× best,₹565.2 vs ₹644.0 cohort,₹0.3L
yt_newhooksx1videomonetise_nikhil_screenrecording_1oct_faceless_expansion_google,top - 7 - youtube,false,2.7× best,₹364.8 vs ₹644.0 cohort,₹0.2L
business_beautyparlourxnewstructure_mayuri_testimonial_19feb_creator_expansion_track36_m2 _expansion_anshumali_hook2,bau - business (aa),false,5.7× best,₹317.8 vs ₹644.0 cohort,₹0.2L
biz_track36_seekho_crocskabusinessxhighprofitxbu85_palak_veo3_face_ai_02may26_livegen_new_newscript_performance_gourav_hook3_ext,bau - business,false,3.2× best,₹629.8 vs ₹644.0 cohort,₹0.2L
horxother_track342_seekho_gharkinaarixpti_raksha_testimonialxchores_face_human_11may26_pc_new_new_crosstest_agency_pc_ext_shivam_raghavxedit_pti_hook1,horxother,false,2.6× best,₹1001.0 vs ₹644.0 cohort,₹0.1L
seekhokannada_eng_englishxfluencyxtransformationxforxdailyxcommunication_femalexteacher_face_ai_30dec99_edit_new_agency_shashank_wdm_track337,seekhokannada,false,2.6× best,₹1073.7 vs ₹644.0 cohort,₹0.1L
eng_seekhomalayalam_femalexspeech_ai_face_14may_edit__agency_shashank_wdm_track330,seekhomalayalam,false,67.8× best,₹1356.0 vs ₹644.0 cohort,₹0.1L
astrosamadhaan_ameer_aixbhaangwala_bheedinterview_4oct_creator_expansion_hook1,top - 55 - astro samadhaan,false,977.0× best,₹977.0 vs ₹644.0 cohort,₹0.1L
